"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","562","test with tag","chromium","2026-01-28","passed","2026-01-28","","Tags.spec.js","",""
"","374","get started link","chromium","2026-01-28","passed","2026-01-28","","NewFileName.spec.js","",""
"","752","Login To Application","firefox","2026-01-28","passed","2026-01-28","Login with users 001","ReadFromFIle1.spec.js","",""
"","3116","test","chromium","2026-01-28","passed","2026-01-28","","Tag1.spec.js","",""
"","638","reading data from JSON","chromium","2026-01-28","passed","2026-01-28","","ReadFromFIle.spec.js","",""
"","95","my test with metadata","","2026-01-28","passed","2026-01-28","","tests\Tags.spec.js","",""
"","1783","test the dropdown list","chromium","2026-01-28","passed","2026-01-28","","ErrorMessage.spec.js","",""
"","564","has title","chromium","2026-01-28","passed","2026-01-28","","NewFileName.spec.js","",""
"","544","get started link","webkit","2026-01-28","passed","2026-01-28","","NewFileName.spec.js","",""
"","884","has title","chromium","2026-01-28","passed","2026-01-28","","ScreenShotandVideo.spec.js","",""
"","2402","test demo/login.spec.js","chromium","2026-01-28","passed","2026-01-28","","demo\login.spec.js","",""
"","830","has title","firefox","2026-01-28","passed","2026-01-28","","example.spec.js","",""
"","4461","test","firefox","2026-01-28","passed","2026-01-28","","MouseHover.spec.js","",""
"","4103","test the dropdown list","webkit","2026-01-28","passed","2026-01-28","","ErrorMessage.spec.js","",""
"","1951","test the dropdown list","chromium","2026-01-28","passed","2026-01-28","","Dropdownlist.spec.js","",""
"","784","file upload works","","2026-01-28","passed","2026-01-28","","tests\UploadFile.spec.js","",""
"","852","test with tag","firefox","2026-01-28","passed","2026-01-28","","Tags.spec.js","",""
"","2475","test the dropdown list","firefox","2026-01-28","passed","2026-01-28","","ErrorMessage.spec.js","",""
"","583","Login To Application","","2026-01-28","passed","2026-01-28","Login with users 001","tests\ReadFromFIle1.spec.js","",""
"","2501","test","webkit","2026-01-28","passed","2026-01-28","","TwoPagesOnWebSite.spec.js","",""
"","555","my test with metadata","firefox","2026-01-28","passed","2026-01-28","","Tags.spec.js","",""
"","1690","Test the iFrame pages","firefox","2026-01-28","passed","2026-01-28","","Fram.spec.js","",""
"","3967","test the dropdown list","webkit","2026-01-28","passed","2026-01-28","","Dropdownlist.spec.js","",""
"","604","get started link","firefox","2026-01-28","passed","2026-01-28","","NewFileName.spec.js","",""
"","6318","Simple alert","","2026-01-28","passed","2026-01-28","","tests\KeyBoard.spec.js","",""
"","1052","multiple file upload works","firefox","2026-01-28","passed","2026-01-28","","UploadFile.spec.js","",""
"","2513","test","chromium","2026-01-28","passed","2026-01-28","","TwoPagesOnWebSite.spec.js","",""
"","1889","test","","2026-01-28","passed","2026-01-28","","tests\Tag1.spec.js","",""
"","2176","test","","2026-01-28","passed","2026-01-28","","tests\TwoPagesOnWebSite.spec.js","",""
"","4183","test the dropdown list","","2026-01-28","passed","2026-01-28","","tests\ErrorMessage.spec.js","",""
"","851","reading data from JSON","webkit","2026-01-28","passed","2026-01-28","","ReadFromFIle.spec.js","",""
"","576","Login To Application","chromium","2026-01-28","passed","2026-01-28","Login with users 001","ReadFromFIle1.spec.js","",""
"","1270","file upload works","webkit","2026-01-28","passed","2026-01-28","","UploadFile.spec.js","",""
"","1128","file upload works","firefox","2026-01-28","passed","2026-01-28","","UploadFile.spec.js","",""
"","854","get started link","chromium","2026-01-28","passed","2026-01-28","","example.spec.js","",""
"","2462","test demo/login.spec.js","webkit","2026-01-28","passed","2026-01-28","","demo\login.spec.js","",""
"","893","has title","webkit","2026-01-28","passed","2026-01-28","","example.spec.js","",""
"","951","has title","webkit","2026-01-28","passed","2026-01-28","","NewFileName.spec.js","",""
"","998","has title","firefox","2026-01-28","passed","2026-01-28","","ScreenShotandVideo.spec.js","",""
"","646","reading data from JSON","","2026-01-28","passed","2026-01-28","","tests\ReadFromFIle.spec.js","",""
"","757","multiple file upload works","","2026-01-28","passed","2026-01-28","","tests\UploadFile.spec.js","",""
"","767","multiple file upload works","chromium","2026-01-28","passed","2026-01-28","","UploadFile.spec.js","",""
"","580","Login To Application","chromium","2026-01-28","passed","2026-01-28","Login with users 002","ReadFromFIle1.spec.js","",""
"","666","Login To Application","webkit","2026-01-28","passed","2026-01-28","Login with users 001","ReadFromFIle1.spec.js","",""
"","4499","test","","2026-01-28","passed","2026-01-28","","tests\MouseHover.spec.js","",""
"","711","has title","chromium","2026-01-28","passed","2026-01-28","","example.spec.js","",""
"","473","test with tag","","2026-01-28","passed","2026-01-28","","tests\Tags.spec.js","",""
"","1836","has title","webkit","2026-01-28","passed","2026-01-28","","ScreenShotandVideo.spec.js","",""
"","6570","Test for dropdown list","firefox","2026-01-28","passed","2026-01-28","","Record.spec.js","",""
"","844","Login To Application","firefox","2026-01-28","passed","2026-01-28","Login with users 003","ReadFromFIle1.spec.js","",""
"","1095","get started link","","2026-01-28","passed","2026-01-28","","tests\example.spec.js","",""
"","3223","Test the iFrame pages","","2026-01-28","passed","2026-01-28","","tests\Fram.spec.js","",""
"","6865","Simple alert","firefox","2026-01-28","passed","2026-01-28","","Alret.spec.js","",""
"","1769","Test the iFrame pages","chromium","2026-01-28","passed","2026-01-28","","Fram.spec.js","",""
"","4483","test demo/login.spec.js","","2026-01-28","passed","2026-01-28","","tests\demo\login.spec.js","",""
"","313","get started link","","2026-01-28","passed","2026-01-28","","tests\NewFileName.spec.js","",""
"","779","Login To Application","firefox","2026-01-28","passed","2026-01-28","Login with users 002","ReadFromFIle1.spec.js","",""
"","2846","test demo/login.spec.js","firefox","2026-01-28","passed","2026-01-28","","demo\login.spec.js","",""
"","4173","test","firefox","2026-01-28","passed","2026-01-28","","Tag1.spec.js","",""
"","737","Login To Application","webkit","2026-01-28","passed","2026-01-28","Login with users 003","ReadFromFIle1.spec.js","",""
"","6859","Test for dropdown list","webkit","2026-01-28","passed","2026-01-28","","Record.spec.js","",""
"","4939","test","webkit","2026-01-28","passed","2026-01-28","","MouseHover.spec.js","",""
"","5284","test the dropdown list","","2026-01-28","passed","2026-01-28","","tests\Dropdownlist.spec.js","",""
"","6579","Test for dropdown list","chromium","2026-01-28","passed","2026-01-28","","Record.spec.js","",""
"","1027","has title","","2026-01-28","passed","2026-01-28","","tests\ScreenShotandVideo.spec.js","",""
"","644","has title","","2026-01-28","passed","2026-01-28","","tests\NewFileName.spec.js","",""
"","2837","Test the iFrame pages","webkit","2026-01-28","passed","2026-01-28","","Fram.spec.js","",""
"","6861","Simple alert","webkit","2026-01-28","passed","2026-01-28","","Alret.spec.js","",""
"","1916","has title","","2026-01-28","passed","2026-01-28","","tests\example.spec.js","",""
"","8915","Simple alert","chromium","2026-01-28","passed","2026-01-28","","Alret.spec.js","",""
"","3421","test the dropdown list","firefox","2026-01-28","passed","2026-01-28","","Dropdownlist.spec.js","",""
"","838","file upload works","chromium","2026-01-28","passed","2026-01-28","","UploadFile.spec.js","",""
"","733","Login To Application","webkit","2026-01-28","passed","2026-01-28","Login with users 002","ReadFromFIle1.spec.js","",""
"","6508","Simple alert","chromium","2026-01-28","passed","2026-01-28","","KeyBoard.spec.js","",""
"","2818","test","webkit","2026-01-28","passed","2026-01-28","","Tag1.spec.js","",""
"","953","multiple file upload works","webkit","2026-01-28","passed","2026-01-28","","UploadFile.spec.js","",""
"","837","test with tag","webkit","2026-01-28","passed","2026-01-28","","Tags.spec.js","",""
"","324","my test with metadata","webkit","2026-01-28","passed","2026-01-28","","Tags.spec.js","",""
"","4051","test","chromium","2026-01-28","passed","2026-01-28","","MouseHover.spec.js","",""
"","1160","get started link","webkit","2026-01-28","passed","2026-01-28","","example.spec.js","",""
"","824","reading data from JSON","firefox","2026-01-28","passed","2026-01-28","","ReadFromFIle.spec.js","",""
"","1214","get started link","firefox","2026-01-28","passed","2026-01-28","","example.spec.js","",""
"","209","my test with metadata","chromium","2026-01-28","passed","2026-01-28","","Tags.spec.js","",""
"","8541","Simple alert","","2026-01-28","passed","2026-01-28","","tests\Alret.spec.js","",""
"","570","Login To Application","chromium","2026-01-28","passed","2026-01-28","Login with users 003","ReadFromFIle1.spec.js","",""
"","524","Login To Application","","2026-01-28","passed","2026-01-28","Login with users 002","tests\ReadFromFIle1.spec.js","",""
"","3254","test","firefox","2026-01-28","passed","2026-01-28","","TwoPagesOnWebSite.spec.js","",""
"","6926","Simple alert","webkit","2026-01-28","passed","2026-01-28","","KeyBoard.spec.js","",""
"","6367","Test for dropdown list","","2026-01-28","passed","2026-01-28","","tests\Record.spec.js","",""
"","6754","Simple alert","firefox","2026-01-28","passed","2026-01-28","","KeyBoard.spec.js","",""
"","796","has title","firefox","2026-01-28","passed","2026-01-28","","NewFileName.spec.js","",""
"","441","Login To Application","","2026-01-28","passed","2026-01-28","Login with users 003","tests\ReadFromFIle1.spec.js","",""
